surah_number,ayah_number,translation
67,1,Maha Berkat (serta Maha Tinggi kelebihan) Tuhan yang menguasai pemerintahan (dunia dan akhirat). Dan Dia Maha Berkuasa atas segala sesuatu.
67,2,Dialah yang menjadikan mati dan hidup untuk menguji kamu bahawa sesiapa antara kamu yang lebih baik amalannya. Dia Maha Berkuasa (membalas amalan kamu) lagi Maha Pengampun (bagi orang yang bertaubat).
67,3,"Dialah yang menjadikan tujuh petala langit yang berlapis-lapis. Kamu tidak dapat melihat sesuatu yang tidak seimbang pada ciptaan Tuhan Yang Maha Pemurah. Maka lihatlah sekali lagi, adakah kamu melihat sebarang kecacatan?"
67,4,"Kemudian, ulangi pandangan (mu) sekali lagi, nescaya pandanganmu akan kembali kepadamu tanpa menemukan kecacatan dan (pandanganmu) dalam keadaan lemah lesu (kerana tenaga habis dengan sia-sia)."
67,5,Sesungguhnya telah Kami hiasi langit yang dekat (pada penglihatan penduduk bumi) dengan bintang dan Kami jadikan bintang itu sebagai alat rejaman terhadap syaitan serta Kami sediakan bagi mereka azab neraka yang menjulang-julang nyalaannya.
67,6,Bagi orang yang ingkar kepada Tuhannya akan mendapat azab neraka Jahanam dan itulah seburuk-buruk tempat kembali.
67,7,"Apabila mereka dilemparkan ke dalam-nya, mereka mendengar suara jeritan yang mengerikan dalam keadaan neraka itu mendidih."
67,8,"Hampir pecah berkecai-kecai kerana marahnya. Setiap kali ada sekumpulan (orang kafir) dilemparkan ke dalamnya, penjaga-penjaga neraka itu bertanya kepada mereka, Apakah tidak pernah ada Rasul yang datang memberikan amaran kepada kamu (di dunia dahulu)?"
67,9,"Mereka menjawab, Benar, sesungguh-nya seorang pemberi amaran telah datang kepada kami tetapi kami mendustakannya serta kami berkata (kepadanya) Allah tidak menurunkan apa-apa pun, kamu (wahai orang yang mendakwa menjadi Rasul) sebenarnya kamu berada dalam kesesatan yang besar!"
67,10,"Mereka berkata, Sekiranya dahulu kami mendengar atau memahami (sebagai orang yang mencari kebenaran) pasti kami tidak termasuk dalam kalangan penghuni neraka."
67,11,"Akhirnya, mereka mengakui dosa mereka (sebagai orang yang kufur dan ingkar). Maka rahmat Allah jauh daripada penghuni neraka."
67,12,"Sesungguhnya orang yang takut (melanggar hukum) Tuhannya secara ghaib (semasa mereka tidak melihat azab neraka), maka mereka beroleh keampunan dan pahala yang besar."
67,13,Dan tuturkanlah perkataanmu dengan perlahan atau nyaring (sama sahaja keadaan-nya kepada Allah) kerana sesungguhnya Allah Maha Mengetahui segala (isi hati) yang terkandung di dalam dada.
67,14,Tidakkah Allah yang menciptakan sekalian makhluk itu mengetahui (segala-galanya)? Sesungguhnya Dia Maha Halus (Terperinci) urus tadbir-Nya lagi Maha Mendalam Pengetahuan-Nya.
67,15,"Dialah yang menjadikan bumi untuk memudahkan kamu menjelajah, maka jelajahilah segala penjurunya dan makanlah daripada rezeki-Nya. Dan (ingatlah) hanya kepada-Nya (tempat kembali kamu) sesudah dibangkitkan semula. (Maka hargailah nikmat-Nya dan takutlah kemurkaan-Nya)."
67,16,"Patutkah kamu berasa aman (tidak takut) kepada Tuhan yang pusat pemerintahan-Nya di langit, menterbalikkan bumi dan menimbus kamu lalu bumi bergegar dengan serta-merta (melenyapkan kamu di bawahnya)?"
67,17,"Patutkah kamu berasa aman (tidak takut) kepada Tuhan yang pusat pemerintahan-Nya di langit, mengirimkan angin ribut yang menghujani kamu dengan batu? Maka dengan itu kamu akan mengetahui bagaimana buruknya kesan amaran-Ku."
67,18,Sesungguhnya orang (kafir) terdahulu telah mendustakan (para Rasul-Nya lalu mereka dibinasakan). Maka (perhatikanlah) bagaimana buruknya kesan kemurkaan-Ku.
